Profile,Year,Landform,subLandform,LF3,LF5,Easting,Northing,Latitude,Longitude,Horizon,Horiz.simp,Depth.range,Depth.upper,Depth.lower,Depth.mean,Depth.cat,Gravel.pct,Sand.pct,Silt.pct,Clay.pct,Sand.corr,Silt.corr,Clay.corr,Gravel.clr,Sand.clr,Silt.clr,Clay.clr,Bulk.density,C.pct,N.pct,C.N.ratio,pH.H2O,pH.CaCl2,EC,CEC,Al_ex,Ca_ex,K_ex,Mg_ex,Na_ex,Al.clr,Ca.clr,K.clr,Mg.clr,Na.clr
1,2015,Upper_slope,NA,Eros,US,498504,6406727,116.984079,-32.4766694,A1,A,0-15,0,15,7.5,5,11.07738605,88,8,4,78.2,7.1,3.6,-0.096395266,1.857968644,-0.54120622,-1.220367158,1.516587031,2.092697382,0.10010273,20.90549758,5.65,4.9,53.8,3.5,0.01,2.62,0.11,0.65,0.12,-2.925106739,2.643237765,-0.527211466,1.249280531,-0.440200089
1,2015,Upper_slope,NA,Eros,US,498504,6406727,116.984079,-32.4766694,B1,B,15-35,15,35,25,25,12.32239767,82,12,6,71.9,10.5,5.3,-0.190025669,1.57383204,-0.350068967,-1.033737404,1.64334471,0.411797643,0.02137633,19.26418777,6.18,4.85,21.54,1.33,0.03,0.85,0.08,0.39,0.05,-1.48012864,1.863910327,-0.499299387,1.084820717,-0.969303017
1,2015,Upper_slope,NA,Eros,US,498504,6406727,116.984079,-32.4766694,B2,B2,35-50,35,50,42.5,50,13.40173218,78,7.25,14.75,67.5,6.3,12.8,-0.203992626,1.412751006,-0.958826959,-0.249931421,1.905324232,0.185032725,0.012641088,14.63740493,5.92,4.88,39.1,1.02,0.09,0.41,0.03,0.39,0.06,-0.295721432,1.220626057,-1.394333721,1.170615637,-0.70118654
1,2015,Upper_slope,NA,Eros,US,498504,6406727,116.984079,-32.4766694,B3,B3,50-80,50,80,65,70,8.216014078,54.75,22,23.25,50.3,20.2,21.3,-0.916034799,0.895885092,-0.016437381,0.036587088,1.55894198,0.176911265,0.008994838,19.66808744,6.47,5.38,48,3.19,0.03,0.51,0.01,1.44,0.19,-1.490325751,1.342887593,-2.58893804,2.38087526,0.355500939
2,2015,Upper_slope,NA,Eros,US,498440,6406561,116.983398,-32.4781668,A1,A,0-15,0,15,7.5,5,14.87414336,84.25,14,1.75,71.7,11.9,1.5,0.236094706,1.808961094,0.013008746,-2.058064546,1.661918089,1.231281877,0.062315032,19.75898654,6.26,5.06,74.2,3.98,0.02,1.63,0.13,1.55,0.65,-2.820784645,1.579818376,-0.948982468,1.529493292,0.660455445
2,2015,Upper_slope,NA,Eros,US,498440,6406561,116.983398,-32.4781668,B1,B,15-25,15,25,20,25,15.90049751,89.25,5.5,5.25,75.1,4.6,4.4,0.243142448,1.795612608,-0.997151647,-1.04160341,1.604795222,0.189783469,0.013518363,14.03893841,6.5,5.06,15.95,1.43,0.01,0.43,0.04,0.76,0.18,-2.473719915,1.287480201,-1.087425554,1.857013425,0.416651843
2,2015,Upper_slope,NA,Eros,US,498440,6406561,116.983398,-32.4781668,B2,B2,25-45,25,45,35,35,17.05659579,87,5.5,7.5,72.1,4.6,6.2,0.220237824,1.66175489,-1.090242851,-0.791749863,1.732245734,0.077151187,0.009890543,7.800500382,7.52,5.44,21.07,0.99,0.04,0.16,0.02,0.6,0.23,-1.030079447,0.356214914,-1.723226628,1.677970754,0.719120408
2,2015,Upper_slope,NA,Eros,US,498440,6406561,116.983398,-32.4781668,B3,B3,45-60,45,60,52.5,50,12.92724908,84.5,5.5,10,73.6,4.8,8.7,-0.088142931,1.65116468,-1.078864428,-0.48415732,1.637433447,0.067850098,0.008099791,8.376771801,7.2,5.47,25.4,1.77,0.09,0.17,0.04,1.01,0.27,-0.668313356,-0.032324589,-1.479243572,1.749582584,0.430298933
3,2015,Valley_floor,Lower_slope,Depos,VF,499026,6406415,116.989634,-32.4794845,A1,A,0-20,0,20,10,15,0.1,78.5,9.25,12.25,78.5,9.25,12.25,-4.000250848,2.66543287,0.526957796,0.807860182,1.059129693,2.576127291,0.181038618,14.22971142,6.2,4.84,101.4,9.42,0.01,5.26,1,2.37,0.5,-4.050110909,2.215190304,0.555059277,1.417949232,-0.138087904
3,2015,Valley_floor,Lower_slope,Depos,VF,499026,6406415,116.989634,-32.4794845,B1,B,20-30,20,30,25,25,0.1,73,7.25,19.75,73,7.25,19.75,-4.04059242,2.552452114,0.242994142,1.245146164,1.41116041,1.074047804,0.077683605,13.82592634,6.14,5.14,31.2,11.09,0.01,7.54,0.1,2.86,0.36,-3.633497642,2.991894726,-1.330912549,2.022494169,-0.049978704
