Profile,Landform,subLandform,LF5,LF3,Easting,Northing,Latitude,Longitude,Horizon,Horiz.simp,Depth.range,Depth.upper,Depth.lower,Depth.mean,Gravel.pct,Sand.pct,Silt.pct,Clay.pct,Bulk.density,C.pct,N.pct,C.N.ratio,pH.H2O,pH.CaCl2,EC,CEC,Al_ex,Ca_ex,K_ex,Mg_ex,Na_ex
1,Upper_slope,NA,US,Erosional,498504,6406727,116.98408,-32.47667,A1,A,0-15,0,15,7.5,11.1,88,8,4,1.517,2.09,0.1,20.91,5.65,4.9,53.8,3.5,0.01,2.62,0.11,0.65,0.12
2,Upper_slope,NA,US,Erosional,498440,6406561,116.9834,-32.47817,A1,A,0-15,0,15,7.5,14.9,84.3,14,1.8,1.662,1.23,0.06,19.76,6.26,5.06,74.2,3.98,0.02,1.63,0.13,1.55,0.65
3,Valley_floor,Lower_slope,VF,Depositional,499026,6406415,116.98963,-32.47948,A1,A,0-20,0,20,10,NA,78.5,9.3,12.3,1.059,2.58,0.18,14.23,6.2,4.84,101.4,9.42,0.01,5.26,1,2.37,0.5
4,Valley_floor,Lower_slope,VF,Depositional,498987,6406365,116.98922,-32.47994,Ap,A,0-27.5,0,27.5,13.75,NA,84.3,8.5,7.3,1.487,6.76,0.26,26.49,5.6,4.71,251.8,7.15,0.02,3.42,0.11,2.98,1.03
5,Residual,NA,RE,Residual,498600,6406830,116.9851,-32.47574,A1,A,0-20,0,20,10,NA,80,7.8,12.3,1.084,13,0.44,29.47,5.05,4.35,445,3.74,0.15,0.94,0.29,2.15,1.71
6,Upper_slope,Mid_slope,US,Erosional,499879,6406404,116.99871,-32.47958,Ap,A,2-Mar,2,3,2.5,3.6,75,12.5,12.5,1.013,5.43,0.28,19.16,5.3,4.5,78.4,4.58,0.05,2.89,0.15,0.96,0.58
7,Residual,NA,RE,Residual,499705,6406558,116.99686,-32.47819,A,A,5-Dec,5,12,8.5,4,92.5,7.5,0.1,1.47,3.41,0.08,42.94,5.87,4.37,24.4,2.06,0.07,0.79,0.18,0.55,0.36
8,Residual,NA,RE,Residual,499314,6406613,116.9927,-32.47769,A,A,0-15,0,15,7.5,24.6,90,5,5,1.296,3.96,0.13,31.22,5.5,4.23,17.7,1.47,0.17,0.28,0.13,0.32,0.16
9,Residual,NA,RE,Residual,499580,6406484,116.99553,-32.47886,A,A,0-20,0,20,10,37.5,72.5,10,17.5,0.989,18.11,0.49,36.93,5.85,4.4,31.1,6.53,0.24,2.41,0.45,2.07,0.77
10,Lower_slope,NA,LS,Depositonal,500015,6405982,117.00016,-32.48339,Ap,A,0-10,0,10,5,17,83.1,7.3,9.6,1.405,2.42,0.12,20.44,5.13,4.71,157.7,4.84,0.02,3.88,0.2,0.64,0.29
