Profile,Landform,subLandform,Easting,Northing,Latitude,Longitude,Horizon,Horiz.simp,Depth.range,Depth.upper,Depth.lower,Depth.mean,Gravel.pct,Sand.pct,Silt.pct,Clay.pct,Bulk.density,C.pct,N.pct,C.N.ratio,pH.H2O,pH.CaCl2,EC,CEC,Al_ex,Ca_ex,K_ex,Mg_ex,Na_ex
1,Upper_slope,NA,498504,6406727,116.984079,-32.4766694,B1,B,15-35,15,35,25,12.3,82.0,12.0,6.0,1.643,0.412,0.021,19.264,6.18,4.85,21.54,1.33,0.03,0.85,0.08,0.39,0.05
2,Upper_slope,NA,498440,6406561,116.983398,-32.4781668,B1,B,15-25,15,25,20,15.9,89.3,5.5,5.3,1.605,0.190,0.014,14.039,6.50,5.06,15.95,1.43,0.01,0.43,0.04,0.76,0.18
3,Valley_floor,Lower_slope,499026,6406415,116.989634,-32.4794845,B1,B,20-30,20,30,25,NA,73.0,7.3,19.8,1.411,1.074,0.078,13.826,6.14,5.14,31.2,11.09,0.01,7.54,0.1,2.86,0.36
4,Valley_floor,Lower_slope,498987,6406365,116.989219,-32.4799356,B1,B,50-85,50,85,67.5,NA,65.0,16.0,19.0,1.836,0.082,0.011,7.497,6.75,5.52,92.4,5.23,0.09,0.74,0.03,3.47,0.76
5,Residual,NA,498600,6406830,116.985101,-32.4757403,B1,B,20-50,20,50,35,NA,65.0,19.3,15.8,1.161,1.772,0.065,27.398,4.72,4.51,950,1.94,0.09,0.02,0.19,1.71,1.36
6,Upper_slope,Mid_slope,499879,6406404,116.998712,-32.4795842,B,B,15-30,15,30,22.5,34.5,75.0,17.5,7.5,1.675,0.756,0.033,23.112,6.49,4.96,27.1,3.17,0.02,1.26,0.02,1.32,0.34
7,Residual,NA,499705.064,6406558.051,116.996861,-32.478194,B,B,12-24,12,24,18,18.4,97.5,0.1,2.5,NA,1.111,0.028,39.607,5.99,4.39,32.2,1.36,0.05,0.24,0.09,0.5,0.24
8,Residual,NA,499313.553,6406613.457,116.992695,-32.4776941,B1,B,15-40,15,40,27.5,45.9,85.0,10.0,5.0,NA,0.752,0.033,22.946,5.90,4.22,10.95,0.98,0.24,0.06,0.04,0.14,0.07
9,Residual,NA,499579.785,6406484.146,116.995528,-32.4788615,B,B,20-40,20,40,30,56.4,70.0,5.0,25.0,NA,4.793,0.152,31.511,5.82,4.73,154.6,5.47,0.08,0.6,0.18,3.24,1.57
10,Lower_slope,NA,500015,6405982,117.00016,-32.4833911,B,B,10-20,10,20,15,42.0,80.1,9.5,10.5,1.651,0.589,0.040,14.622,5.83,4.92,63.7,3.64,0.01,2.41,0.09,0.43,0.15
11,Valley_floor,NA,499989,6406157,116.999883,-32.4818124,B1,B,30-60,30,60,45,26.0,92.6,4.0,3.4,1.711,0.072,0.006,11.957,4.89,4.72,227.2,0.98,0.01,0.36,0.02,0.22,0.09
12,Mid-slope,NA,499969,6407026,116.99967,-32.4739731,B1,B,30-100,30,100,65,36.0,80.4,9.9,9.6,NA,1.231,0.044,28.273,6.07,5.25,23.43,3.77,0.02,2.43,0.04,0.62,0.07
13,Upper_slope,NA,499814,6406782,116.998021,-32.4761742,B1,B,10-30,10,30,20,13.0,73.0,17.0,10.0,1.066,1.611,0.106,15.136,6.00,6.44,85.4,8.37,0.01,5.14,0.07,2.27,0.63
14,Mid-slope,Upper_slope,498263,6404666,116.98151,-32.4952615,B,B,10-35,10,35,22.5,53.3,85.6,8.7,5.7,1.428,0.440,0.050,8.800,6.56,4.62,NA,2.76,0.6,1.96,0.27,0.43,0.13
15,Mid-slope,NA,498715,6404659,116.986322,-32.4953253,B,B,55-60,55,60,57.5,8.0,73.3,3.0,23.7,1.144,0.360,0.040,9.000,6.51,5.74,NA,3.76,0.03,3.63,0.05,0.67,0.13
16,Mid-slope,NA,498400,6404356,116.982968,-32.4980583,B1,B,35-54,35,54,44.5,59.9,79.4,14.1,6.5,2.150,0.160,0.020,8.000,6.70,5.80,NA,2.01,0.005,0.81,0.03,1.35,0.28
17,Sub_valley_floor,NA,499131,6404068,116.990749,-32.5006572,B,B,30-50,30,50,40,0.2,42.9,9.8,47.3,1.502,0.300,0.040,7.500,5.93,5.60,NA,9.5,0.01,2.31,0.06,5.81,1.41
18,Sub_valley_floor,NA,498771,6403716,116.986917,-32.5038323,B,B,30-67,30,67,48.5,38.6,15.9,35.5,48.6,1.552,0.190,0.030,6.333,5.85,4.29,NA,9.9,0.14,2.25,0.06,5.28,1.84
19,Lower_slope,NA,499159,6403611,116.991047,-32.5047798,B1,B,25-55,25,55,40,4.7,53.2,8.6,38.2,1.595,0.280,0.030,9.333,7.30,5.20,NA,3.87,0.02,2.83,0.07,0.44,0.03
21,Residual,NA,499746,6406602,116.997297,-32.477798,B,B,14-42,14,42,28,4.9,75.0,25.0,0.1,1.507,1.200,0.050,24.000,5.00,4.70,25.7,2.13,0.09,1.07,0.1,0.95,0.2
22,Residual,Upper_slope,499399,6406493,116.993604,-32.478781,B1,B,12-21,12,21,16.5,6.6,47.9,15.0,37.2,0.989,2.570,0.050,51.400,4.04,4.00,3440,2.89,2.15,0.07,0.04,3.08,14.86
23,Residual,Upper_slope,499753,6406606,116.997371,-32.4777619,B1,B,20-40,20,40,30,60.5,45.8,34.0,20.1,1.674,0.530,0.020,26.500,5.16,4.20,1427,3.61,1.29,0.05,0.03,0.8,4.61
24,Residual,Upper_slope,499710,6406793,116.996914,-32.476075,B1,B,15-21,15,21,18,37.8,51.0,22.0,27.0,1.129,2.800,0.110,25.455,5.15,4.82,1900,3.97,0.07,0.11,0.11,3.37,6.53
25,Sub_valley_floor,Valley_floor,499936,6406181,116.999319,-32.4815959,B1,B,14-24,14,24,19,23.4,93.2,8.5,1.7,1.174,0.210,0.020,10.500,6.04,5.69,461,2.28,0.1,1.15,0.01,0.88,0.33
26,Sub_valley_floor,Valley_floor,499949,6406143,116.999457,-32.4819387,B1,B,16-46,16,46,31,24.5,87.5,7.4,5.2,1.140,0.260,0.020,13.000,5.87,5.11,527,1.39,0.03,0.8,0.06,0.67,0.14
27,Mid-slope,NA,498987,6406804,116.989219,-32.4759753,B1,B,11-31,11,31,21,0.0,109.8,2.5,12.3,1.599,0.730,0.060,12.167,6.00,5.02,84.9,6.78,0.03,4.39,0.27,0.97,0.09
28,Lower_slope,NA,496044,6404560,116.957889,-32.4962121,B,B,18-47,18,47,32.5,6.6,91.7,2.5,5.9,1.869,0.240,0.010,24.000,5.20,4.99,2265,0.26,0.1,0.16,0.005,0.19,0.17
29,Residual,NA,497240,6404609,116.970621,-32.4957737,B,B,15-100,15,100,57.5,80.9,87.1,8.9,4.0,1.396,0.310,0.020,15.500,6.15,4.99,2262,2.06,0.05,1.29,0.05,0.21,0.04
30,Lower_slope,Sub_valley_floor,496745,6404980,116.965353,-32.4924255,B1,B,12-50,12,50,31,5.9,87.6,8.8,3.6,1.596,0.110,0.020,5.500,6.20,4.50,24,0.25,0.005,0.15,0.06,0.7,0.44
31,Nonresid_upland,NA,497397,6405407,116.972294,-32.4885752,B1,B,15-52,15,52,33.5,10.4,75.9,7.3,16.8,1.617,0.900,0.020,45.000,4.68,4.36,168.2,1.38,0.08,1.08,0.04,0.44,0.09
32,Upper_slope,NA,497228,6405225,116.970495,-32.4902166,B,B,52-120,52,120,86,42.3,33.0,5.1,61.3,1.688,0.140,0.050,2.800,6.90,5.96,300,5.96,0.05,3.59,0.08,1.31,0.28
