"Profile","Landform","subLandform","Easting","Northing","Latitude","Longitude","Horizon","Horiz.simp","Depth.range","Depth.upper","Depth.lower","Depth.mean","Gravel.pct","Sand.pct","Silt.pct","Clay.pct","Bulk.density","C.pct","N.pct","C.N.ratio","pH.H2O","pH.CaCl2","EC","CEC","Al_ex","Ca_ex","K_ex","Mg_ex","Na_ex","LF5","Depth.cat"
1,"Upper_slope",NA,498504,6406727,116.984079,-32.4766694,"A1","A","0-15",0,15,7.5,11.07738605,88,8,4,"1.516587031",2.092697382,0.10010273,20.90549758,5.65,4.9,53.8,3.5,0.01,2.62,0.11,0.65,0.12,"US",5
1,"Upper_slope",NA,498504,6406727,116.984079,-32.4766694,"B1","B","15-35",15,35,25,12.32239767,82,12,6,"1.64334471",0.411797643,0.02137633,19.26418777,6.18,4.85,21.54,1.33,0.03,0.85,0.08,0.39,0.05,"US",25
1,"Upper_slope",NA,498504,6406727,116.984079,-32.4766694,"B2","B2","35-50",35,50,42.5,13.40173218,78,7.25,14.75,"1.905324232",0.185032725,0.012641088,14.63740493,5.92,4.88,39.1,1.02,0.09,0.41,0.03,0.39,0.06,"US",50
1,"Upper_slope",NA,498504,6406727,116.984079,-32.4766694,"B3","B3","50-80",50,80,65,8.216014078,54.75,22,23.25,"1.55894198",0.176911265,0.008994838,19.66808744,6.47,5.38,48,3.19,0.03,0.51,0.01,1.44,0.19,"US",70
2,"Upper_slope",NA,498440,6406561,116.983398,-32.4781668,"A1","A","0-15",0,15,7.5,14.87414336,84.25,14,1.75,"1.661918089",1.231281877,0.062315032,19.75898654,6.26,5.06,74.2,3.98,0.02,1.63,0.13,1.55,0.65,"US",5
2,"Upper_slope",NA,498440,6406561,116.983398,-32.4781668,"B1","B","15-25",15,25,20,15.90049751,89.25,5.5,5.25,"1.604795222",0.189783469,0.013518363,14.03893841,6.5,5.06,15.95,1.43,0.01,0.43,0.04,0.76,0.18,"US",25
2,"Upper_slope",NA,498440,6406561,116.983398,-32.4781668,"B2","B2","25-45",25,45,35,17.05659579,87,5.5,7.5,"1.732245734",0.077151187,0.009890543,7.800500382,7.52,5.44,21.07,0.99,0.04,0.16,0.02,0.6,0.23,"US",35
2,"Upper_slope",NA,498440,6406561,116.983398,-32.4781668,"B3","B3","45-60",45,60,52.5,12.92724908,84.5,5.5,10,"1.637433447",0.067850098,0.008099791,8.376771801,7.2,5.47,25.4,1.77,0.09,0.17,0.04,1.01,0.27,"US",50
3,"Valley_floor","Lower_slope",499026,6406415,116.989634,-32.4794845,"A1","A","0-20",0,20,10,NA,78.5,9.25,12.25,"1.059129693",2.576127291,0.181038618,14.22971142,6.2,4.84,101.4,9.42,0.01,5.26,1,2.37,0.5,"VF",15
3,"Valley_floor","Lower_slope",499026,6406415,116.989634,-32.4794845,"B1","B","20-30",20,30,25,NA,73,7.25,19.75,"1.41116041",1.074047804,0.077683605,13.82592634,6.14,5.14,31.2,11.09,0.01,7.54,0.1,2.86,0.36,"VF",25
