OorE,Profile,Easting,Northing,Latitude,Longitude,Horizon,Horiz_simp,Depth.range,Depth.upper,Depth.lower,Depth.mean,Gravel.pct,Sand.pct,Silt.pct,Clay.pct,Bulk.density,C.pct,N.pct,C.N.ratio,pH.H2O,pH.CaCl2,EC.-S.cm,CEC,ex-Al,ex-Ca,ex-K,ex-Mg,ex-Na,munesll.wet,munsell.dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,1,498504.0,6406727.0,116.984079,-32.4766694,Mid A1,A,0-15,0.0,15.0,7.5,11.1,88.0,8.0,4.0,1.5,2.1,0.1,20.9,5.7,4.9,53.8,3.5,0.0,2.6,0.1,0.6,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,1,498504.0,6406727.0,116.984079,-32.4766694,Mid B1,NA,15-35,15.0,35.0,25.0,12.3,82.0,12.0,6.0,1.6,0.4,0.0,19.3,6.2,4.9,21.5,1.3,0.0,0.8,0.1,0.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,1,498504.0,6406727.0,116.984079,-32.4766694,Mid B2,NA,35-50,35.0,50.0,42.5,13.4,78.0,7.3,14.8,1.9,0.2,0.0,14.6,5.9,4.9,39.1,1.0,0.1,0.4,0.0,0.4,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,1,498504.0,6406727.0,116.984079,-32.4766694,Mid B3,NA,50-80,50.0,80.0,65.0,8.2,54.7,22.0,23.2,1.6,0.2,0.0,19.7,6.5,5.4,48.0,3.2,0.0,0.5,0.0,1.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,2,498440.0,6406561.0,116.983398,-32.4781668,AD A1,A,0-15,0.0,15.0,7.5,14.9,84.3,14.0,1.7,1.7,1.2,0.1,19.8,6.3,5.1,74.2,4.0,0.0,1.6,0.1,1.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,2,498440.0,6406561.0,116.983398,-32.4781668,AD B1,NA,15-25,15.0,25.0,20.0,15.9,89.3,5.5,5.3,1.6,0.2,0.0,14.0,6.5,5.1,16.0,1.4,0.0,0.4,0.0,0.8,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,2,498440.0,6406561.0,116.983398,-32.4781668,AD B2,NA,25-45,25.0,45.0,35.0,17.1,87.0,5.5,7.5,1.7,0.1,0.0,7.8,7.5,5.4,21.1,1.0,0.0,0.2,0.0,0.6,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,2,498440.0,6406561.0,116.983398,-32.4781668,AD B3,NA,45-60,45.0,60.0,52.5,12.9,84.5,5.5,10.0,1.6,0.1,0.0,8.4,7.2,5.5,25.4,1.8,0.1,0.2,0.0,1.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,3,499026.0,6406415.0,116.989634,-32.4794845,DO A1,A,0-20,0.0,20.0,10.0,NA,78.5,9.3,12.3,1.1,2.6,0.2,14.2,6.2,4.8,101.4,9.4,0.0,5.3,1.0,2.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,3,499026.0,6406415.0,116.989634,-32.4794845,DO B1,NA,20-30,20.0,30.0,25.0,NA,73.0,7.3,19.8,1.4,1.1,0.1,13.8,6.1,5.1,31.2,11.1,0.0,7.5,0.1,2.9,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,3,499026.0,6406415.0,116.989634,-32.4794845,DO B2,NA,30-50,30.0,50.0,40.0,NA,80.0,5.3,14.8,NA,0.6,0.0,15.1,6.7,5.4,25.1,10.1,0.0,6.7,0.1,2.5,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
