"Easting","Northing","Longitude","Latitude"
499590.1,6403070.28,116.995636,-32.509658
499177.97,6403062.96,116.991248,-32.509724
498933.02,6403062.63,116.988641,-32.509727
498369.01,6403061.65,116.982636,-32.509735
498198.56,6403061.65,116.980821,-32.509734
498198.56,6403098.72,116.980821,-32.5094
498198.56,6403261.82,116.980822,-32.507929
497833.57,6403261.82,116.976936,-32.507928
496912.86,6403260.78,116.967134,-32.507935
497339.43,6403261.16,116.971675,-32.507933
497465.2,6403261.55,116.973014,-32.50793
496771.61,6403260.47,116.96563,-32.507938
496641.23,6403260.28,116.964242,-32.507939
496555.5,6403260.08,116.963329,-32.507941
496381.74,6403259.85,116.96148,-32.507942
495920.02,6403258.88,116.956564,-32.507949
495550.14,6403259.52,116.952626,-32.507942
495325.62,6403465.99,116.950237,-32.506078
495141.27,6403631.39,116.948275,-32.504586
495061.5,6403705.24,116.947426,-32.503919
495192.74,6403952.6,116.948825,-32.501688
495262.78,6404084.81,116.949571,-32.500496
495274.06,6404105.94,116.949691,-32.500305
495376.41,6404297.77,116.950782,-32.498575
495493.77,6404428.45,116.952032,-32.497397
495530.38,6404469.09,116.952422,-32.49703
495898.68,6404879.72,116.956344,-32.493327
495949.3,6404936.08,116.956883,-32.492819
496196.59,6405211.71,116.959516,-32.490333
496501.73,6405551.57,116.962766,-32.487269
496568.33,6405626.02,116.963475,-32.486597
496723.08,6405798.52,116.965122,-32.485041
496862.64,6405954.48,116.966608,-32.483635
496999.47,6406106.2,116.968065,-32.482267
497123.93,6406212.58,116.96939,-32.481307
497185.84,6406387.15,116.970049,-32.479733
497245.17,6406553.48,116.970681,-32.478232
497304.29,6406713.17,116.971311,-32.476792
497358.2,6406816.36,116.971885,-32.475861
497425.55,6406944.83,116.972602,-32.474702
497694.05,6407048.5,116.97546,-32.473768
497867.42,6407048.5,116.977305,-32.473768
498226.81,6407048.5,116.981129,-32.473769
498432.31,6407048.5,116.983316,-32.473769
498519.63,6407048.5,116.984246,-32.473769
498667.34,6407048.5,116.985818,-32.473769
498786.1,6407048.5,116.987082,-32.473769
498786.1,6407067.04,116.987082,-32.473602
498894.88,6407067,116.988239,-32.473603
498977.73,6407066.96,116.989121,-32.473603
499199.22,6407066.81,116.991478,-32.473605
499399.78,6407066.7,116.993612,-32.473606
499480.52,6407066.79,116.994472,-32.473605
499614.6,6407066.47,116.995899,-32.473608
499666.99,6407093.41,116.996456,-32.473365
499667.4,6407238.29,116.99646,-32.472058
499667.3,6407301.62,116.99646,-32.471487
499668.4,6407739,116.996471,-32.467541
500271.38,6407739.01,117.002888,-32.467541
500270.58,6407215.51,117.00288,-32.472263
500271.45,6407067.93,117.002889,-32.473595
500275.89,6407054.18,117.002936,-32.473719
500282.67,6407047.18,117.003008,-32.473782
500567.6,6407046.95,117.006041,-32.473784
500567.4,6406117.35,117.006039,-32.48217
500567.4,6405681.44,117.006039,-32.486102
500403.45,6405681.44,117.004294,-32.486102
499604.03,6405681.09,116.995785,-32.486106
499603.51,6405305.27,116.99578,-32.489496
499603.96,6405173.62,116.995784,-32.490684
499604.02,6405002.51,116.995785,-32.492227
499604.46,6404833.57,116.99579,-32.493751
499604.64,6404676.12,116.995792,-32.495172
499606.45,6404172.67,116.995811,-32.499713
499587.59,6404172.67,116.99561,-32.499713
499587.97,6403951.68,116.995614,-32.501707
499588.35,6403801.95,116.995618,-32.503058
499588.55,6403725.79,116.99562,-32.503745
499590.1,6403070.28,116.995636,-32.509658
