Easting,Northing,MGA_E,MGA_N,Longitude,Latitude
497694.05,6407048.93,497694.05,6407048.93,116.97546,-32.4737638
497991.65,6407048.93,497991.65,6407048.93,116.978627,-32.4737644
498016.48,6407049.66,498016.48,6407049.66,116.978891,-32.4737578
498046.97,6407048.5,498046.97,6407048.5,116.979216,-32.4737684
498786.03,6407048.41,498786.03,6407048.41,116.987081,-32.4737702
498785.03,6407068.56,498785.03,6407068.56,116.98707,-32.4735884
499668.07,6407068.19,499668.07,6407068.19,116.996468,-32.4735924
499668.71,6407739.14,499668.71,6407739.14,116.996475,-32.4675397
500271.38,6407739.01,500271.38,6407739.01,117.002888,-32.4675409
500271.45,6407067.93,500271.45,6407067.93,117.002889,-32.4735948
500282.67,6407047.18,500282.67,6407047.18,117.003008,-32.4737819
500567.62,6407046.95,500567.62,6407046.95,117.006041,-32.4737839
500568.88,6405683.72,500568.88,6405683.72,117.006055,-32.4860818
499604.19,6405681.09,499604.19,6405681.09,116.995787,-32.4861056
499590.15,6403070.28,499590.15,6403070.28,116.995637,-32.509658
499566.34,6403064.93,499566.34,6403064.93,116.995383,-32.5097062
498199.8,6403064.93,498199.8,6403064.93,116.980834,-32.5097048
498198.92,6403263.54,498198.92,6403263.54,116.980825,-32.5079132
496303.48,6403261.46,496303.48,6403261.46,116.960646,-32.5079272
496277.73,6403261.11,496277.73,6403261.11,116.960372,-32.5079303
496225.37,6403261.11,496225.37,6403261.11,116.959815,-32.5079301
496173.02,6403261.02,496173.02,6403261.02,116.959258,-32.5079308
496063.36,6403261.15,496063.36,6403261.15,116.95809,-32.5079292
495998.34,6403261.01,495998.34,6403261.01,116.957398,-32.5079302
495550.14,6403261.01,495550.14,6403261.01,116.952626,-32.5079285
495061.5,6403705.24,495061.5,6403705.24,116.947426,-32.503919
495370.15,6404286.39,495370.15,6404286.39,116.950715,-32.4986777
496322.45,6405352.13,496322.45,6405352.13,116.960857,-32.4890672
496340.42,6405372.37,496340.42,6405372.37,116.961048,-32.4888846
496992.7,6406099.2,496992.7,6406099.2,116.967993,-32.4823298
497107.76,6406187.03,497107.76,6406187.03,116.969218,-32.4815377
497115.8,6406199.66,497115.8,6406199.66,116.969303,-32.4814238
497123.93,6406212.58,497123.93,6406212.58,116.96939,-32.4813073
497130.6,6406231.17,497130.6,6406231.17,116.969461,-32.4811396
497203.3,6406434.8,497203.3,6406434.8,116.970235,-32.4793028
497208.18,6406448.43,497208.18,6406448.43,116.970287,-32.4791799
497217.53,6406474.85,497217.53,6406474.85,116.970387,-32.4789416
497294.13,6406686.41,497294.13,6406686.41,116.971203,-32.4770332
497304.29,6406713.17,497304.29,6406713.17,116.971311,-32.4767919
497415.64,6406925.69,497415.64,6406925.69,116.972497,-32.474875
497425.55,6406944.83,497425.55,6406944.83,116.972602,-32.4747023
497694.05,6407048.93,497694.05,6407048.93,116.97546,-32.4737638
